Heading,Response,Template,description,type,foci,"flavor
",place
,,,Humble,,Commands Monsters,,
,,,Impulsive,,Communes with Nature,,
,,,Inquisitive,,Conducts Dangerous Experiments,,
,,,Insolent,,Conducts Rocket Science,,
,,,Intelligent,,Conducts Weird Science,,
,,,Introverted,,Consorts with Dragons,,
,,,Jovial,,Consorts with the Dead,,
,,,Kind,,Constantly Evolves,,
,,,Know It All,,Controls Beasts,,
,,,Lawful,,Controls Gravity,,
,,,Learned,,Controls Nanomachines,,
,,,Lucky,,Controls the Weather,,
,,,Mad,,Constructs a Palace of the Mind,,
,,,Mechanical,,Counts Coins,,
,,,Meddlesome,,Crafts Illusions,,
,,,Meticulous,,Crafts Unique Objects,,
,,,Mysterious,,Defends the Realm,,
,,,Mystical,,Defends the Weak,,
,,,Naive,,Defies the Laws of Physics,,
,,,Noble,,Delves Too Deep,,
,,,Obsessive,,Descends from Nobility,,
,,,Paranoid,,Develops Sentience,,
,,,Patient,,Dies,,
,,,Perceptive,,Dines with Kings,,
,,,Relentless,,Displays Titan Strength,,
,,,Resilient,,Dons a Power Suit,,
,,,Resolute,,Draws Faster,,
,,,Rugged,,Drives Dangerously,,
,,,Savage,,Drives Like a Maniac,,
,,,Serene,,Eliminates Occult Threats,,
,,,Skeptical,,Embraces Qephelim Ancestry,,
,,,Slacker,,Employs Fantastic Gadgets,,
,,,Slick,,Employs Magnetism,,
,,,Spiritual,,Employs Sex Appeal,,
,,,Stealthy,,Enforces Divine Will,,
,,,Strange,,Entertains,,
,,,Strong,,Excels Physically,,
,,,Swift,,Exists in Two Places at Once,,
,,,Tough,,Exists Partially Out of Phase,,
,,,Traumatized,,Explores,,
,,,Unforgiving,,Explores Dark Places,,
,,,Vengeful,,Explores Deep Waters,,
,,,Virtuous,,Explores New Worlds,,
,,,Volcanic,,Feeds the Flame,,
,,,Wary,,Fell Through a Rabbit Hole,,
,,,Wealthy,,Fights Aliens,,
,,,Weird,,Fights Dirty,,
,,,World Weary,,Fights Dirty,,
,,,Young,,Fights for a Cause,,
,,,Young,,Fights like a Demigod,,
,,,,,Fights with Panache,,
,,,,,Fights with the Force,,
,,,,,Figures Things Out,,
,,,,,Finds Lost Relics,,
,,,,,Finds the Flaws in All Things,,
,,,,,Fires a Blaster,,
,,,,,Fires All Weapons,,
,,,,,Focuses Mind Over Matter,,
,,,,,Focuses Two Personalities,,
,,,,,Follows Psychic Clues,,
,,,,,Follows the Code of Bushido,,
,,,,,Follows the Old Ways,,
,,,,,Follows Their Feet,,
,,,,,Forges Animal Bonds,,
,,,,,Forges Arms and Armor,,
,,,,,Fuses Flesh With Steel,,
,,,,,Fuses Mind and Machine,,
,,,,,Goes Berserk,,
,,,,,Governs,,
,,,,,Grows To Towering Heights,,
,,,,,Hacks the Network,,
,,,,,Has More Money than Sense,,
,,,,,Haunts the Rooftops,,
,,,,,Heals,,
,,,,,Holds it Together,,
,,,,,Howls At The Moon,,
,,,,,Hunts Dangerous Beasts,,
,,,,,Hunts for Bounties,,
,,,,,Hunts Strange Beasts,,
,,,,,Hunts Zombies,,
,,,,,Hunts With Great Skill,,
,,,,,Imparts Wisdom,,
,,,,,Indulges in Worldly Pleasures,,
,,,,,Infiltrates,,
,,,,,Inks Spells On Skin,,
,,,,,Inscribes Runes of Power,,
,,,,,Inspires Lust and Jealousy,,
,,,,,Integrates Weaponry,,
,,,,,Interprets the Law,,
,,,,,Investigates Strange Events,,
,,,,,Is a Cyborg,,
,,,,,Is Hunted By Moths,,
,,,,,Is Idolized by Millions,,
,,,,,Is Licensed to Carry,,
,,,,,Is Sworn to the Crown,,
,,,,,Is the Eye of the Storm,,
,,,,,Is Wanted by the Law,,
,,,,,Joined a Cult,,
,,,,,Journeys Beyond this World,,
,,,,,Keeps a Magic Ally,,
,,,,,Knows Someone,,
,,,,,Knows the Heart,,
,,,,,Knows the Hidden Paths,,
,,,,,Knows the Streets,,
,,,,,Knows These Parts,,
,,,,,Leads,,
,,,,,Learns Quickly,,
,,,,,Leaves the Physical World,,
,,,,,Likes to Break Things,,
,,,,,Lives in the Wilderness,,
,,,,,Lives on the Edge,,
,,,,,Looks for Trouble,,
,,,,,Loves the Void,,
,,,,,Makes Prophecy,,
,,,,,Masters Defense,,
,,,,,Masters Technology,,
,,,,,Masters Weaponry,,
,,,,,Masters Wuxia,,
,,,,,Metes Out Justice,,
,,,,,Metamorphosizes,,
,,,,,Mixes Unstable Concoctions,,
,,,,,Monitors Intel,,
,,,,,Moves Like a Cat,,
,,,,,Moves Like the Wind,,
,,,,,Murders,,
,,,,,Mutates,,
,,,,,Names,,
,,,,,Needs No Weapon,,
,,,,,Negotiates Matters of Life and Death,,
,,,,,Never Says Die,,
,,,,,Operates Undercover,,
,,,,,Operates Vehicles,,
,,,,,Outwits the Gods,,
,,,,,Performs Feats Of Strength,,
,,,,,Pilots Starcraft,,
,,,,,Pilots Starships,,
,,,,,Plays a Deadly Instrument,,
,,,,,Plays God,,
,,,,,Plays Too Many Games,,
,,,,,Plays Tricks,,
,,,,,Plays with Portals,,
,,,,,Practices Sorcery,,
,,,,,Practices Soul Sorcery,,
,,,,,Predates,,
,,,,,Preys on the Psyche,,
,,,,,Processes Information,,
,,,,,Projects Energy,,
,,,,,Protects the Weak,,
,,,,,Pursues Physical Perfection,,
,,,,,Quells Undead,,
,,,,,Rages,,
,,,,,Reforges Completely,,
,,,,,Regenerates Tissue,,
,,,,,Rejuvenates the Infirm,,
,,,,,Reroutes Power,,
,,,,,Resides in Silicon,,
,,,,,Revels in Trickery,,
,,,,,Rides a Noble Steed,,
,,,,,Rides into the Sunset,,
,,,,,Rides the Lightning,,
,,,,,Rules the Sea,,
,,,,,Rules with an Iron Fist,,
,,,,,Runs Away,,
,,,,,Sailed Beneath the Jolly Roger,,
,,,,,Saves Lives,,
,,,,,Scavenges,,
,,,,,Scores Points,,
,,,,,Sculpts Light,,
,,,,,Sees Beyond,,
,,,,,Sees the End Coming,,
,,,,,Sees with the Inner Eye,,
,,,,,Self Evolves,,
,,,,,Separates Mind from Body,,
,,,,,Serves and Protects,,
,,,,,Serves in an Elite Military Squad,,
,,,,,Shepherds Spirits,,
,,,,,Shoots First,,
,,,,,Siphons Power,,
,,,,,Slices Past Security,,
,,,,,Smites the Wicked,,
,,,,,Smuggles with Impunity,,
,,,,,Soars Across the Sky,,
,,,,,Solves Mysteries,,
,,,,,Spawns,,
,,,,,Speaks Curses,,
,,,,,Speaks Every Language,,
,,,,,Speaks for the Land,,
,,,,,Speaks of Forgotten Gods,,
,,,,,Speaks with a Silver Tongue,,
,,,,,Stands Like a Bastion,,
,,,,,Stays on Target,,
,,,,,Steals,,
,,,,,Steals from the Rich,,
,,,,,Talks to Machines,,
,,,,,Tends the Flock,,
,,,,,Terrifies the Townspeople,,
,,,,,Threatens the Powerful,,
,,,,,Throws With Accuracy,,
,,,,,Touches the Sky,,
,,,,,Toys with Memory,,
,,,,,Transcends Humanity,,
,,,,,Travels Through Time,,
,,,,,Trick Or Treats,,
,,,,,Walks with the Night,,
,,,,,Was Foretold,,
,,,,,Wears an Iron Suit,,
,,,,,Wears A Sheen Of Ice,,
,,,,,Wears Power Armor,,
,,,,,Wears Spurs,,
,,,,,Wields Cosmic Power,,
,,,,,Wields Invisible Forces,,
,,,,,Wields Power with Precision,,
,,,,,Wields Two Weapons At Once,,
,,,,,Wonders,,
,,,,,Works for a Living,,
,,,,,Works Miracles,,
,,,,,Works The Back Alleys,,
,,,,,Works The System,,
,,,,,Would Rather Be Reading,,
